0.7709809778	8469
0.7681385992	12758
0.7579375306	5593
0.7539794909	8973
0.7476953726	9674
0.7458171579	4360
0.7453952338	4451
0.7437581054	5125
0.7431453258	1256
0.7427597691	10186
0.7422440023	9407
0.7417656101	6029
0.7395223008	4736
0.7394121449	3781
0.7388825550	12048
0.7375997370	10525
0.7370924737	5459
0.7368020965	6190
0.7366654868	4709
0.7366080632	5359
0.7363930512	9542
0.7362228153	5478
0.7359911848	10706
0.7354613799	13692
0.7345517144	1608
0.7345263487	11088
0.7344161389	308
0.7335528565	10580
0.7321070984	783
0.7321059198	5760
0.7318729477	6287
0.7318302449	6196
0.7317672227	2667
0.7308669280	7948
0.7295598354	888
0.7293881673	4263
0.7285675741	6189
0.7257584180	6061
0.7257216172	724
0.7256135107	3401
0.7254953002	4006
0.7247516196	3470
0.7245881631	1094
0.7238124025	3531
0.7215343045	10508
0.7215106684	4337
0.7207040473	4793
0.7201586018	262
0.7188705256	11476
0.7186707996	1842
0.7184841238	7506
0.7177950207	5646
0.7175043484	6981
0.7174607458	5075
0.7164479081	6923
0.7164322317	9494
0.7162594250	5287
0.7137651614	9333
0.7130979583	8786
0.7119507472	12293
0.7111788430	2245
0.7081348817	4796
0.7077870753	1882
0.7074320793	2650
0.7072898994	953
0.7071226360	3757
0.7055059112	13462
0.7046152191	12251
0.7046152191	5962
0.7040890266	1630
0.7040270634	6111
0.7038651028	5926
0.7038651028	7396
0.7036325822	6186
0.7035813152	4236
0.7031044087	9970
0.7017749779	2787
0.7015261001	7477
0.7013591644	8428
0.7009369908	9641
0.6996439844	2492
0.6984761679	10529
0.6983851295	3362
0.6973279216	4611
0.6973090677	5226
0.6972648527	8968
0.6960441064	13547
0.6957522550	6994
0.6954711578	1541
0.6954031925	13463
0.6953857814	4209
0.6948657012	3100
0.6936341208	6286
0.6923929749	14983
0.6921483084	3642
0.6919834395	12028
0.6913756710	7132
0.6908361964	5456
0.6907194919	6657
0.6900159028	7199
0.6896649678	477
0.6885406880	4399
0.6870701926	4493
0.6867751535	4503
0.6865538474	9802
0.6863889508	7811
0.6857904929	8386
0.6856186606	2750
0.6854597053	2072
0.6852885083	6210
0.6842671870	668
0.6841554285	1329
0.6832556229	4697
0.6823561151	13892
0.6821711843	4320
0.6821711843	3243
0.6813565665	10603
0.6813309081	4822
0.6813174803	5301
0.6806881162	13681
0.6806781099	9184
0.6805956003	5016
0.6799079775	11098
0.6797108722	9134
0.6795059248	11221
0.6788016714	11340
0.6788016714	7643
0.6786081041	1757
0.6783522298	3466
0.6780145255	4472
0.6778985408	15855
0.6776995652	10513
0.6772297796	9291
0.6769110756	9673
0.6769110756	8059
0.6768302399	10701
0.6767063890	10537
0.6762770124	11672
0.6762697902	12189
0.6762697902	9996
0.6757931224	9206
0.6757931224	9042
0.6756671983	9128
0.6755913170	2110
0.6750123932	9013
0.6749620802	6037
0.6749549320	6853
0.6748262693	1162
0.6747011072	2400
0.6743749741	7627
0.6741834421	127
0.6741557638	7568
0.6740826713	10744
0.6739833370	5334
0.6737401403	7983
0.6737401403	3227
0.6735125923	6166
0.6734994015	7754
0.6733796952	3029
0.6722427837	3390
0.6717788145	11745
0.6717494205	5023
0.6716432913	3244
0.6713460793	246
0.6710019182	13945
0.6701888443	2290
0.6697966981	2134
0.6696782662	2375
0.6694752782	5299
0.6694752782	5423
0.6693924311	7238
0.6693219757	9005
0.6693050096	6558
0.6692615267	4685
0.6691070184	5540
0.6690912975	13145
0.6687191777	635
0.6683752163	4109
0.6682667444	7420
0.6682667444	2195
0.6680843966	7671
0.6680838440	6245
0.6679971870	9973
0.6675811106	9353
0.6672665107	13472
0.6671864911	9237
0.6670279781	2070
0.6668593058	9299
0.6668041885	6877
0.6667622376	8971
0.6666362586	5097
0.6664919305	7590
0.6662994673	10399
0.6662875681	8728
0.6662394190	4008
0.6658105133	6110
0.6655519516	4034
0.6651134916	11602
0.6648786803	2620
0.6648245990	4074
0.6646712168	3371
